City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Age Possession,area,colony,province,property Type,price
2.0,2.0,7.0,7.0,0.0,2.0,1.0,3.0,2178.0,4.0,0.0,1.0,2.7
2.0,2.0,4.0,5.0,0.0,2.0,0.0,3.0,1361.0,4.0,0.0,1.0,2.0
2.0,2.0,3.0,4.0,0.0,1.0,0.0,3.0,1634.0,4.0,0.0,1.0,1.65
2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1089.0,4.0,0.0,1.0,1.2
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,3539.0,38.0,0.0,1.0,4.6
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,2722.0,40.0,0.0,1.0,3.9
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,3.85
2.0,2.0,4.0,5.0,1.0,2.0,1.0,3.0,1634.0,3.0,0.0,1.0,2.9
2.0,2.0,4.0,5.0,0.0,2.0,0.0,3.0,2722.0,100.0,0.0,1.0,3.4
2.0,2.0,5.0,7.0,1.0,2.0,1.0,3.0,1906.0,40.0,0.0,1.0,3.65
2.0,2.0,5.0,5.0,1.0,2.0,1.0,5.0,1906.0,40.0,0.0,1.0,3.65
2.0,2.0,3.0,3.0,0.0,1.0,0.0,3.0,1361.0,4.0,0.0,1.0,1.5
2.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,1361.0,4.0,0.0,1.0,1.9
2.0,2.0,4.0,5.0,0.0,2.0,0.0,3.0,1361.0,4.0,0.0,1.0,2.0
2.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,3267.0,22.0,0.0,1.0,4.9
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,22.0,0.0,1.0,4.7
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,22.0,0.0,1.0,4.8
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,39.0,0.0,1.0,3.5
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,2722.0,40.0,0.0,1.0,3.4
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,3.75
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,3267.0,40.0,0.0,1.0,4.5
2.0,4.0,7.0,8.0,0.0,3.0,0.0,3.0,5990.0,40.0,0.0,1.0,8.8
2.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,1361.0,120.0,0.0,1.0,1.35
2.0,2.0,5.0,6.0,1.0,2.0,2.0,3.0,1906.0,40.0,0.0,1.0,2.7
